"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","Radio"
"SN2016fmb","2016/09/02","18.5","","21:35:25.44,21:35:25.440","+21:19:12.90,+21:19:12.36","0.07,0.07","Ia","7","1",""
"SN2016gvg","2016/10/03","17.9","GALEXASC J031313.01+020835.8","03:13:12.86,03:13:12.860,03:13:12.91","+02:08:37.57,+02:08:36.7","0.048,0.048,0.046","Ia","7","1",""
"SN2016hqf","2016/10/30","18.1","2MASX J22332338-0121266","22:33:22.67,22:33:22.670","-01:21:25.39,-01:21:25.3","0.055,0.055","Ia","7","1",""
"SN1998cm","1998/06/10","18.32","Abell 1780","13:44:12.94,13:44:12.97","+03:00:40.4,+03:00:40.3,+03:00:40.28","0.079999","Ia","6","1",""
"SN2000J","2000/02/04","18.4","UGC 8510","13:31:16.24","+29:22:32.3,+29:22:32.30","0.04793","II","6","1",""
"SN2000K","2000/02/28","16.6","MCG +09-19-191","11:47:50.08,11:47:49.76","+56:01:01.3,+56:01:00.08","0.055","Ia","6","1",""
"SN2007cp","2007/06/13","17.29","IC 807","12:42:12.72","-17:24:07.7,-17:24:07.70","0.0352871,0.0359487","Ia","6","5",""
"CSS120415:170824+030104","2012/04/15","","","17:08:24.35,17:08:24.24","+03:01:03.5,+03:01:03.50,+03:01:03.504","0.077","Ia","6","1",""
"PS1-14md","2014/02/13","18.15","2MASX J11174242-2114394","11:17:42.34,11:17:42.33","-21:14:39.7","0.071","Ia","6","1",""
"PS1-14nv","2014/02/24","17.82","2MASX J15024505-2819400","15:02:44.81","-28:19:40.3","0.05","Ia","6","1",""
"PTF10xyt","2010/10/17","19.07","","23:19:02.4,23:19:02.43","+13:47:26.16,+13:47:26.2","0.049","Ia","6","4",""
"SN2011he","2011/10/20","","A223646+2021","22:36:46.72,22:36:46.8","+20:21:31.2,+20:21:31.21,+20:21:31.32","0.055","Ia Pec","6","1",""
"SN2013be","2013/04/05","18.8","IC 3573","12:36:27.67,12:36:27.07","+11:45:28.1,+11:45:28.12,+11:45:30.7","0.065846","Ia","6","1",""
"SN2013bg","2013/04/04","18","A102042-0626","10:20:42.87,10:20:42.96","-06:26:56.8,-06:26:56.80,-06:26:56.832","0.066","Ia","6","7",""
"SN2013dd","2013/05/27","17.5","A153605+1357","15:36:05.15,15:36:05.14","+13:57:06.9,+13:57:06.91,+13:57:07.0","0.05205","Ia","6","1",""
"SN2013fj","2013/09/07","17.14","PGC 68419","22:15:28.51,22:15:28.47","+15:34:04.1,+15:34:04.12,+15:34:03.1","0.03357","Ia","6","2",""
"ASASSN-15ae","2015/01/01","16.1","2MASX J15510599+3425520","15:51:05.810,15:51:05.81,15:51:05.76","+34:25:55.80,+34:25:55.8,+34:25:55.56,+34:25:55.92","0.031238","Ia","6","1",""
"iPTF15go","2015/02/02","17.15","","14:26:36.78,14:26:36.72,14:26:36.76","+24:03:10.2,+24:03:10.08,+24:03:10.1","0.03","Ia","6","1",""
"LSQ15adm","2015/04/05","16.98","","20:14:21.820,20:14:21.82,20:14:21.84","-58:08:20.20,-58:08:20.4","0.073","Ia","6","1",""
"SN2016cor","2016/05/25","17.9","SDSS J154431.47+161814.0","15:44:31.20,15:44:31.200,15:44:31.22","+16:18:12.80,+16:18:12.4","0.049,0.049","Ia","6","2",""
"SN2016dqp","2016/02/08","18.93","","13:07:07.00,13:07:07.03,13:07:06.96","-20:15:51.90,-20:15:51.9,-20:15:51.84","0.045","Ia","6","1",""
"SN2016eqw","2016/08/06","16.8","GALEXASC J011415.49-162456.4","01:14:15.54,01:14:15.540,01:14:15.51,01:14:15.48","-16:24:57.60,-16:24:56.9,-16:24:56.52","0.047,0.047","Ia-91T","6","1",""
"SN2016esh","2016/08/07","17.4","2MASXi J1604144+164124","16:04:14.35,16:04:14.350,16:04:14.4","+16:41:24.07,+16:41:24.72","0.04452,0.04452","Ia","6","1",""
"SN2016eui","2016/08/05","19.18","2MASX J00254522-0257551","00:25:44.76,00:25:44.760,00:25:44.75","-02:57:54.91,-02:57:54.9","0.07,0.07","Ia","6","1",""
"SN2016hqk","2016/10/26","18.11","2MASX J21512205-2518318","21:51:22.40,21:51:22.400,21:51:22.44","-25:18:37.22,-25:18:36.7","0.059,0.059","Ia","6","1",""
"SN2016iyf","2016/12/17","17.9","MCG +04-24-22","10:16:34.21,10:16:34.211,10:16:34.32","+22:05:14.60,+22:05:14.61,+22:05:14.64","0.041,0.041","Ia","6","1",""
"SN2016jel","2016/12/25","17.85","","10:03:04.12,10:03:04.120,10:03:04.08","-18:58:10.99,-18:58:10.92","0.056,0.056","Ia","6","1",""
"SN2017ux","2017/01/23","18.09","2MASX J09225310-0312502","09:22:53.20,09:22:53.200,09:22:53.24","-03:12:52.36,-03:12:52.6","0.07,0.07","Ia","6","1",""
"SN2000dd","2000/08/10","17.3","MCG -04-48-19","20:35:00.10","-23:05:55.2,-23:05:55.21","0.042449","Ia","5","1",""
"SN2001ds","2001/08/14","16.2","UGC 1654","02:10:08.73","+36:42:20.3,+36:42:20.30","0.03626","Ia","5","1",""
"SN2001if","2001/12/09","17.2","MCG +06-06-43","02:28:54.93","+38:05:52.7,+38:05:52.69","0.038,0.038","Ia","5","2",""
"SN2003ax","2003/02/09","18.4","2MASX J08083589+0746399","08:08:35.53,08:08:35.538","+07:46:42.2,+07:46:42.20,+07:46:42.29","0.054001","Ia","5","1",""
"SN2008hk","2008/11/06","","SDSS J091243.63+095548.3","09:12:43.63,09:12:43.68","+09:55:47.9,+09:55:47.89,+09:55:47.856","0.0301,0.0301","Ia","5","1",""
"CSS110701:014551+143502","2011/07/01","","","01:45:50.50,01:45:50.52","+14:35:00.0,+14:35:01.9,+14:35:02.04","0.06","Ia","5","1",""
